39,16,10,17,46,61,29,57,19,58,47,51,71,26,45,13,65,27,3,36,42,59,1,61,12,35,39,16,9,55,41,3,69,68,46,7,13,46,42,3,59,43,10,19,13,29,43,41,57,33,28,9,17,13,8,53,12,5,33,6,12,34,26,40,62,8,43,56,34,27,70,48,17,36,52,4,2,67,14,22,42,22,70,31,16,7,45,36,49,35,27,12,17,33,60,32,8,15,53,2,69,27,69,13,61,33,58,29,65,4,43,7,29,21,35,36,26,25,46,15,22,6,12,51,18,14,54,53,59,39,29,8,36,45,20,42,57,21,26,52,9,41,38,21,61,55,35,55,23,71,10,53,2,12,43,4,24,14,10,3,5,54,68,5,38,12,8,18,7,4,37,13,26,62,4,23,8,59,49,39,60,58,33,64,60,45,48,31,67,39,17,57,47,14,20,15,44,7,72,35,37,70,13,44,7,64,33,22,7,34,37,33,28,13,47,63,3,20,47,22,53,22,33,62,59,72,8,43,51,44,47,30,3,64,27,23,8,62,20,67,50,29,45,23,30,64,19,59,20,5,59,48,2,39,35,13
39,16,10,17,46,61,29,57,19,58,47,51,71,26,45,13,65,27,3,36,42,59,1,61,12,35,39,16,9,55,41,3,69,68,46,7,13,46,42,3,59,43,10,19,13,29,43,41,57,33,28,9,17,13,8,53,12,5,33,6,12,34,26,40,62,8,43,56,34,27,70,48,17,36,52,4,2,67,14,22,42,22,70,31,16,7,45,36,49,35,27,12,17,33,60,32,8,15,53,2,69,27,69,13,61,33,58,29,65,4,43,7,29,21,35,36,26,25,46,15,22,6,12,51,18,14,54,53,59,39,29,8,36,45,20,42,57,21,26,52,9,41,38,21,61,55,35,55,23,71,10,53,2,12,43,4,24,14,10,3,5,54,68,5,38,12,8,18,7,4,37,13,26,62,4,23,8,59,49,39,60,58,33,64,60,45,48,31,67,39,17,57,47,14,20,15,44,7,72,35,37,70,13,44,7,64,33,22,7,34,37,33,28,13,47,63,3,20,47,22,53,22,33,62,59,72,8,43,51,44,47,30,3,64,27,23,8,62,20,67,50,29,45,23,30,64,19,59,20,5,59,48,2,39,35,13
72,72,71,72,72,72,71,72,72,71,72,72,72,71,72,71,72,71,71,71,72,72,71,72,72,72,72,72,72,72,71,72,72,72,72,72,72,71,72,72,72,72,72,71,71,72,72,72,72,72,72,72,72,72,72,72,72,71,71,72,72,72,72,72,72,71,72,72,71,71,71,72,72,71,71,72,71,72,72,72,72,72,72,71,72,72,72,72,71,72,71,72,71,72,72,72,72,72,72,72,71,71,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,71,72,72,71,72,71,72,71,72,71,72,72,72,71,71,72,72,71,72,72,72,71,72,72,71,72,72,71,72,72,71,71,72,72,71,72,72,71,72,72,71,71,72,71,72,72,72,71,72,72,72,72,72,72,72,71,72,72,72,72,71,72,72,72,71,72,71,71,71,72,72,72,72,72,72,72,71,71,72,72,72,72,72,72,72,71,72,71,71,72,71,72,72,73,72,71,72,72,71,72,71,72,72,72,72,72,72,72,72,71,72,72,73,72,72,72,71,72,72,72,72,72,72,71,71,72,71,71,72,72,72
72,72,71,72,72,72,71,72,72,71,72,72,72,71,72,71,72,71,71,71,72,72,71,72,72,72,72,72,72,72,71,72,72,72,72,72,72,71,72,72,72,72,72,71,71,72,72,72,72,72,72,72,72,72,72,72,72,71,71,72,72,72,72,72,72,71,72,72,71,71,71,72,72,71,71,72,71,72,72,72,72,72,72,71,72,72,72,72,71,72,71,72,71,72,72,72,72,72,72,72,71,71,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,71,72,72,71,72,71,72,71,72,71,72,72,72,71,71,72,72,71,72,72,72,71,72,72,71,72,72,71,72,72,71,71,72,72,71,72,72,71,72,72,71,71,72,71,72,72,72,71,72,72,72,72,72,72,72,71,72,72,72,72,71,72,72,72,71,72,71,71,71,72,72,72,72,72,72,72,71,71,72,72,72,72,72,72,72,71,72,71,71,72,71,72,72,73,72,71,72,72,71,72,71,72,72,72,72,72,72,72,72,71,72,72,73,72,72,72,71,72,72,72,72,72,72,71,71,72,71,71,72,72,72
72,72,72,72,71,71,72,72,72,72,72,72,72,72,71,72,71,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,71,72,72,72,72,71,71,71,72,72,71,71,72,71,71,71,72,72,72,71,72,72,72,72,72,71,72,72,72,72,72,72,72,73,72,72,71,72,71,71,72,72,72,72,71,71,72,72,72,73,72,72,72,72,72,71,72,71,72,72,72,72,72,71,72,72,72,71,72,71,72,72,71,72,72,72,71,72,72,72,71,72,71,72,72,72,72,73,72,72,72,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,71,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,72,71,72,71,72,72,71,72,72,72,72,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,72,71,72,72,72,72,72,71,72,72,72,72,72,71,71,71,72,71,71,72,72,72,72,71,72,71,72,72,72,72,72,72,72,71,72,72,72,72,71,72,71,71,72,72,72,72,72,72,72,71,71,72
72,72,72,72,71,71,72,72,72,72,72,72,72,72,71,72,71,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,71,72,72,72,72,71,71,71,72,72,71,71,72,71,71,71,72,72,72,71,72,72,72,72,72,71,72,72,72,72,72,72,72,73,72,72,71,72,71,71,72,72,72,72,71,71,72,72,72,73,72,72,72,72,72,71,72,71,72,72,72,72,72,71,72,72,72,71,72,71,72,72,71,72,72,72,71,72,72,72,71,72,71,72,72,72,72,73,72,72,72,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,71,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,72,71,72,71,72,72,71,72,72,72,72,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,72,71,72,72,72,72,72,71,72,72,72,72,72,71,71,71,72,71,71,72,72,72,72,71,72,71,72,72,72,72,72,72,72,71,72,72,72,72,71,72,71,71,72,72,72,72,72,72,72,71,71,72
71,72,72,71,71,55,72,62,71,69,72,58,48,72,72,72,54,72,72,73,72,60,72,57,72,72,72,71,72,63,72,71,52,50,71,72,72,72,72,71,58,72,72,72,72,72,73,73,63,72,72,72,73,72,72,66,72,72,72,71,72,72,72,72,56,72,71,52,72,72,48,72,71,72,67,72,72,51,71,72,73,73,49,72,72,72,71,72,70,68,71,72,72,72,56,72,72,71,65,71,48,73,46,71,65,72,62,72,54,72,72,72,72,72,71,72,72,72,72,71,71,72,72,73,72,72,63,66,58,72,72,71,72,72,72,73,62,72,72,67,72,72,73,72,56,62,72,71,72,49,72,59,72,72,72,72,72,72,72,72,72,62,50,71,72,72,72,72,72,71,72,72,72,67,71,72,72,59,69,72,58,62,73,54,59,71,70,72,51,73,71,68,71,72,72,72,71,72,56,72,73,49,72,71,72,55,72,72,72,72,73,72,73,72,70,56,71,72,73,72,67,72,72,58,58,46,72,73,67,72,72,72,71,54,72,72,71,66,72,53,68,72,71,72,72,55,71,58,72,72,59,71,72,73,73,71
71,72,72,71,71,55,72,62,71,69,72,58,48,72,72,72,54,72,72,73,72,60,72,57,72,72,72,71,72,63,72,71,52,50,71,72,72,72,72,71,58,72,72,72,72,72,73,73,63,72,72,72,73,72,72,66,72,72,72,71,72,72,72,72,56,72,71,52,72,72,48,72,71,72,67,72,72,51,71,72,73,73,49,72,72,72,71,72,70,68,71,72,72,72,56,72,72,71,65,71,48,73,46,71,65,72,62,72,54,72,72,72,72,72,71,72,72,72,72,71,71,72,72,73,72,72,63,66,58,72,72,71,72,72,72,73,62,72,72,67,72,72,73,72,56,62,72,71,72,49,72,59,72,72,72,72,72,72,72,72,72,62,50,71,72,72,72,72,72,71,72,72,72,67,71,72,72,59,69,72,58,62,73,54,59,71,70,72,51,73,71,68,71,72,72,72,71,72,56,72,73,49,72,71,72,55,72,72,72,72,73,72,73,72,70,56,71,72,73,72,67,72,72,58,58,46,72,73,67,72,72,72,71,54,72,72,71,66,72,53,68,72,71,72,72,55,71,58,72,72,59,71,72,73,73,71
73,34,32,31,31,37,31,36,31,31,29,37,42,29,30,33,38,30,43,28,29,36,42,37,34,30,29,33,38,36,29,40,40,41,30,38,34,30,29,45,37,30,31,31,33,30,30,30,36,29,30,37,30,38,49,33,35,43,30,42,34,30,30,29,37,50,31,39,30,30,43,29,31,31,33,38,52,41,33,35,30,29,41,30,37,50,31,30,30,32,33,34,41,30,37,30,39,33,34,53,43,28,43,34,34,30,37,30,38,32,30,35,30,31,30,30,30,31,30,43,33,48,31,29,38,41,36,33,36,29,30,33,29,29,30,29,36,30,30,33,47,30,28,31,37,36,30,30,30,42,36,36,43,31,29,42,31,34,36,54,38,36,41,41,29,42,40,30,40,42,29,35,30,33,42,31,38,37,31,29,37,36,30,37,36,31,30,30,40,28,33,32,31,33,31,34,31,49,37,29,30,42,44,30,37,37,30,31,38,30,28,31,28,33,30,37,43,32,29,36,33,31,31,37,36,43,36,29,33,30,29,30,55,37,30,30,45,33,31,38,32,30,31,30,31,37,31,36,30,42,36,31,32,29,30,44
73,34,32,31,31,37,31,36,31,31,29,37,42,29,30,33,38,30,43,28,29,36,42,37,34,30,29,33,38,36,29,40,40,41,30,38,34,30,29,45,37,30,31,31,33,30,30,30,36,29,30,37,30,38,49,33,35,43,30,42,34,30,30,29,37,50,31,39,30,30,43,29,31,31,33,38,52,41,33,35,30,29,41,30,37,50,31,30,30,32,33,34,41,30,37,30,39,33,34,53,43,28,43,34,34,30,37,30,38,32,30,35,30,31,30,30,30,31,30,43,33,48,31,29,38,41,36,33,36,29,30,33,29,29,30,29,36,30,30,33,47,30,28,31,37,36,30,30,30,42,36,36,43,31,29,42,31,34,36,54,38,36,41,41,29,42,40,30,40,42,29,35,30,33,42,31,38,37,31,29,37,36,30,37,36,31,30,30,40,28,33,32,31,33,31,34,31,49,37,29,30,42,44,30,37,37,30,31,38,30,28,31,28,33,30,37,43,32,29,36,33,31,31,37,36,43,36,29,33,30,29,30,55,37,30,30,45,33,31,38,32,30,31,30,31,37,31,36,30,42,36,31,32,29,30,44
