32,22,31,15,34,9,41,25,31,5,68,69,26,33,7,33,15,68,29,39,42,52,31,56,42,6,20,69,62,31,32,29,35,38,59,8,54,47,8,64,38,20,52,8,45,62,32,55,7,66,15,44,39,63,1,16,26,54,71,27,22,19,23,33,45,56,65,66,71,24,62,68,34,68,8,64,41,56,41,35,57,50,35,66,33,2,64,62,8,11,72,51,64,51,13,40,9,70,17,49,7,22,3,34,31,18,71,3,2,47,62,4,39,63,6,25,63,59,24,31,3,45,2,38,47,13,49,24,53,26,13,34,63,4,16,65,28,62,34,25,2,21,8,12,39,36,14,3,5,46,6,15,40,23,38,1,39,22,6,60,57,7,21,27,54,27,36,69,2,44,67,43,71,43,28,33,22,60,23,43,20,45,65,57,2,20,51,52,7,39,55,41,57,69,16,17,26,44,61,29,35,29,27,58,32,16,1,2,20,40,68,18,14,38,37,2,66,69,11,70,69,41,57,39,53,23,65,34,59,18,25,37,9,59,28,70,11,66,58,31,35,69,42,59,23,71,42,33,24,16,44,64,62,3,60,33
32,22,31,15,34,9,41,25,31,5,68,69,26,33,7,33,15,68,29,39,42,52,31,56,42,6,20,69,62,31,32,29,35,38,59,8,54,47,8,64,38,20,52,8,45,62,32,55,7,66,15,44,39,63,1,16,26,54,71,27,22,19,23,33,45,56,65,66,71,24,62,68,34,68,8,64,41,56,41,35,57,50,35,66,33,2,64,62,8,11,72,51,64,51,13,40,9,70,17,49,7,22,3,34,31,18,71,3,2,47,62,4,39,63,6,25,63,59,24,31,3,45,2,38,47,13,49,24,53,26,13,34,63,4,16,65,28,62,34,25,2,21,8,12,39,36,14,3,5,46,6,15,40,23,38,1,39,22,6,60,57,7,21,27,54,27,36,69,2,44,67,43,71,43,28,33,22,60,23,43,20,45,65,57,2,20,51,52,7,39,55,41,57,69,16,17,26,44,61,29,35,29,27,58,32,16,1,2,20,40,68,18,14,38,37,2,66,69,11,70,69,41,57,39,53,23,65,34,59,18,25,37,9,59,28,70,11,66,58,31,35,69,42,59,23,71,42,33,24,16,44,64,62,3,60,33
71,71,72,71,72,72,72,72,72,71,72,72,71,72,71,72,71,71,72,72,71,71,72,72,72,71,72,71,72,72,72,72,72,72,71,71,72,72,72,71,72,71,72,71,72,71,72,72,72,72,71,72,72,72,72,71,71,72,71,72,72,72,72,72,72,72,72,72,71,72,72,72,72,71,72,71,72,72,72,72,72,72,72,72,71,72,71,71,72,71,72,72,72,72,72,72,71,72,72,72,72,72,72,71,72,72,72,71,72,72,71,72,72,72,71,72,72,72,72,72,72,72,71,72,71,72,72,73,72,72,72,71,72,72,71,72,72,72,72,71,72,72,72,72,71,71,72,72,72,72,71,72,71,72,72,72,72,72,71,72,72,72,72,71,72,71,72,72,72,72,72,73,72,72,72,72,72,72,72,72,71,72,72,71,72,72,71,72,72,72,72,72,72,72,72,72,71,72,71,71,71,71,72,72,72,71,72,72,73,72,72,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,72,72,71,72,71,71,72,72,72,72,72,72,72,71,72,72,72,72,71,72,72,71,72,72,72
71,71,72,71,72,72,72,72,72,71,72,72,71,72,71,72,71,71,72,72,71,71,72,72,72,71,72,71,72,72,72,72,72,72,71,71,72,72,72,71,72,71,72,71,72,71,72,72,72,72,71,72,72,72,72,71,71,72,71,72,72,72,72,72,72,72,72,72,71,72,72,72,72,71,72,71,72,72,72,72,72,72,72,72,71,72,71,71,72,71,72,72,72,72,72,72,71,72,72,72,72,72,72,71,72,72,72,71,72,72,71,72,72,72,71,72,72,72,72,72,72,72,71,72,71,72,72,73,72,72,72,71,72,72,71,72,72,72,72,71,72,72,72,72,71,71,72,72,72,72,71,72,71,72,72,72,72,72,71,72,72,72,72,71,72,71,72,72,72,72,72,73,72,72,72,72,72,72,72,72,71,72,72,71,72,72,71,72,72,72,72,72,72,72,72,72,71,72,71,71,71,71,72,72,72,71,72,72,73,72,72,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,72,72,71,72,71,71,72,72,72,72,72,72,72,71,72,72,72,72,71,72,72,71,72,72,72
72,72,72,72,72,71,71,72,72,72,72,72,72,71,72,71,72,72,72,72,72,72,71,71,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,72,72,71,72,72,71,72,72,72,72,72,72,72,72,72,71,72,72,72,72,72,71,72,72,72,72,72,71,71,71,72,72,71,72,72,72,72,72,72,71,71,72,72,72,72,72,72,72,72,72,71,72,72,72,72,71,72,71,72,72,71,72,71,72,72,72,72,72,72,72,71,71,72,71,71,72,71,72,72,72,72,71,72,72,72,71,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,72,72,72,71,71,72,72,72,72,71,71,72,72,71,72,72,72,71,71,72,72,72,71,72,72,72,72,72,72,72,72,72,72,71,72,72,71,72,71,72,71,71,72,72,71,72,72,72,72,71,71,72,72,72,72,72,72,71,72,72,72,72,71,72,71,71,72,72,72,72,72,71,71,72,72,72,72,72,71,72,71
72,72,72,72,72,71,71,72,72,72,72,72,72,71,72,71,72,72,72,72,72,72,71,71,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,72,72,71,72,72,71,72,72,72,72,72,72,72,72,72,71,72,72,72,72,72,71,72,72,72,72,72,71,71,71,72,72,71,72,72,72,72,72,72,71,71,72,72,72,72,72,72,72,72,72,71,72,72,72,72,71,72,71,72,72,71,72,71,72,72,72,72,72,72,72,71,71,72,71,71,72,71,72,72,72,72,71,72,72,72,71,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,71,72,72,72,72,72,72,71,71,72,72,72,72,71,71,72,72,71,72,72,72,71,71,72,72,72,71,72,72,72,72,72,72,72,72,72,72,71,72,72,71,72,71,72,71,71,72,72,71,72,72,72,72,71,71,72,72,72,72,72,72,71,72,72,72,72,71,72,71,71,72,72,72,72,72,71,71,72,72,72,72,72,71,72,71
72,72,72,72,72,72,73,71,72,72,51,49,73,73,72,73,72,49,72,72,67,56,72,63,72,72,72,58,56,72,72,72,72,72,60,72,65,71,72,56,72,71,67,72,66,57,72,63,71,60,72,72,72,58,72,72,72,66,57,72,72,72,72,73,72,62,51,52,58,72,67,52,72,50,72,59,72,71,72,72,56,72,73,63,73,71,56,58,72,72,47,54,54,67,71,71,72,55,71,73,72,72,72,72,73,72,50,72,71,72,68,71,73,66,72,72,56,70,72,72,72,72,72,73,73,71,72,72,64,72,71,72,50,71,72,43,71,55,72,72,71,72,72,72,72,73,72,71,71,71,72,72,72,72,68,71,72,72,72,58,58,71,72,72,71,72,72,51,71,71,52,73,48,64,71,71,72,60,73,64,72,71,46,59,72,72,72,66,72,70,62,71,71,51,72,71,72,71,57,72,72,72,72,49,72,72,72,71,72,72,59,72,71,73,73,72,54,54,71,45,49,72,60,72,66,72,60,72,60,72,72,73,72,60,72,47,72,54,60,72,73,59,72,58,72,44,73,72,72,72,72,55,59,72,52,71
72,72,72,72,72,72,73,71,72,72,51,49,73,73,72,73,72,49,72,72,67,56,72,63,72,72,72,58,56,72,72,72,72,72,60,72,65,71,72,56,72,71,67,72,66,57,72,63,71,60,72,72,72,58,72,72,72,66,57,72,72,72,72,73,72,62,51,52,58,72,67,52,72,50,72,59,72,71,72,72,56,72,73,63,73,71,56,58,72,72,47,54,54,67,71,71,72,55,71,73,72,72,72,72,73,72,50,72,71,72,68,71,73,66,72,72,56,70,72,72,72,72,72,73,73,71,72,72,64,72,71,72,50,71,72,43,71,55,72,72,71,72,72,72,72,73,72,71,71,71,72,72,72,72,68,71,72,72,72,58,58,71,72,72,71,72,72,51,71,71,52,73,48,64,71,71,72,60,73,64,72,71,46,59,72,72,72,66,72,70,62,71,71,51,72,71,72,71,57,72,72,72,72,49,72,72,72,71,72,72,59,72,71,73,73,72,54,54,71,45,49,72,60,72,66,72,60,72,60,72,72,73,72,60,72,47,72,54,60,72,73,59,72,58,72,44,73,72,72,72,72,55,59,72,52,71
71,30,31,32,30,35,30,33,30,54,40,42,28,29,39,30,32,42,30,29,33,37,30,36,29,42,37,37,37,30,30,30,30,29,36,40,34,30,38,37,29,33,33,50,33,37,30,36,40,36,42,30,30,38,45,41,30,33,37,30,31,31,31,30,30,36,40,39,37,31,33,40,30,41,39,37,29,30,29,29,37,30,30,36,28,43,37,37,38,39,43,37,38,33,33,30,39,37,32,29,37,30,45,30,30,35,42,43,45,29,32,44,30,33,41,30,37,30,30,29,49,29,51,29,28,34,29,30,35,31,34,29,41,44,33,44,32,37,30,31,44,31,38,34,29,29,38,42,40,31,52,38,29,31,32,33,30,30,41,36,36,40,31,30,30,30,30,41,55,30,39,30,42,36,31,30,31,37,30,35,30,30,43,36,46,37,29,33,39,30,36,30,31,41,32,33,30,31,37,30,30,30,30,41,30,31,46,56,31,29,36,31,44,30,28,46,38,40,44,43,41,29,36,29,33,31,36,30,36,32,30,29,39,36,30,44,43,38,36,30,30,36,29,36,32,44,30,31,31,32,29,37,36,50,39,31
71,30,31,32,30,35,30,33,30,54,40,42,28,29,39,30,32,42,30,29,33,37,30,36,29,42,37,37,37,30,30,30,30,29,36,40,34,30,38,37,29,33,33,50,33,37,30,36,40,36,42,30,30,38,45,41,30,33,37,30,31,31,31,30,30,36,40,39,37,31,33,40,30,41,39,37,29,30,29,29,37,30,30,36,28,43,37,37,38,39,43,37,38,33,33,30,39,37,32,29,37,30,45,30,30,35,42,43,45,29,32,44,30,33,41,30,37,30,30,29,49,29,51,29,28,34,29,30,35,31,34,29,41,44,33,44,32,37,30,31,44,31,38,34,29,29,38,42,40,31,52,38,29,31,32,33,30,30,41,36,36,40,31,30,30,30,30,41,55,30,39,30,42,36,31,30,31,37,30,35,30,30,43,36,46,37,29,33,39,30,36,30,31,41,32,33,30,31,37,30,30,30,30,41,30,31,46,56,31,29,36,31,44,30,28,46,38,40,44,43,41,29,36,29,33,31,36,30,36,32,30,29,39,36,30,44,43,38,36,30,30,36,29,36,32,44,30,31,31,32,29,37,36,50,39,31
